Performance Of Women Candidates,,,,,,,,,,,
Constituency Name,Constituency No.,Candidate No.,Candidate Name,Party Type,Party Name, Vote Secured, Total Valid Votes, % of Votes Secured Over Total Electors, % of Votes Secured Over Total Votes Poled, Status,Total Electors
Mekliganj,1,5,PRAMILA ROY,U,SUCI,2090,180960,1.0311363714853792,1.1549513704686118,FD,202689
Mekliganj,1,8,GOLAPI ROY,Z,IND,955,180960,0.47116518409977853,0.52774093722369586,FD,202689
Mathabhanga,2,6,MANJULA ROY,U,SUCI,1029,200385,0.44812974423071061,0.51351149038101651,FD,229621
Cooch Behar Dakshin,4,7,NAZMA KHANDAKAR,U,SUCI,1678,179173,0.78720210170763749,0.93652503446389812,FD,213160
Cooch Behar Dakshin,4,5,AMITA DAS,U,AMB,2703,179173,1.2680615500093826,1.5085978356113923,FD,213160
Cooch Behar Dakshin,4,3,MAYA MAJUMDER,N,BSP,5197,179173,2.4380746856821167,2.9005486317692957,FD,213160
Sitalkuchi,5,2,NAMADIPTI ADHIKARY,N,CPM,86164,230077,32.969194213057733,37.450071063165808,L,261347
Dinhata,7,7,ANITA BARMAN,Z,IND,777,223637,0.28430920547103122,0.34743803574542675,FD,273294
Dinhata,7,9,SABITRI BASUNIYA (ROY),Z,IND,2170,223637,0.79401669996414115,0.97032244217191244,FD,273294
Natabari,8,6,RABIA SARKAR,U,SUCI,1261,199597,0.56358297541419544,0.63177302264062085,FD,223747
Tufanganj,9,5,SANTANA DATTA,U,SUCI,1320,192402,0.61809327589436225,0.68606355443290612,FD,213560
Kalchini,11,8,USHA TAMANG,Z,IND,931,177356,0.42652421704630838,0.52493290331311038,FD,218276
Alipurduars,12,2,GOURI ROY,N,BSP,974,203446,0.41248115460843937,0.47875111823284799,FD,236132
Madarihat,14,1,KUMARI KUJUR,S,RSP,29885,152301,15.590926638912364,19.62232683961366,L,191682
Dhupguri,15,4,MITALI ROY,S,AITC,90781,208734,38.23533128077262,43.491237651748158,W,237427
Dhupguri,15,3,MAMATA ROY,N,CPM,71517,208734,30.121679505700698,34.262266808473946,L,237427
Maynaguri,16,3,CHHAYA DEY (ROY),S,RSP,65930,210728,27.858295797381921,31.28677726737785,L,236662
Mal,20,1,ANJALI MALO,N,BSP,4168,191666,1.8323214827384589,2.1746162595348157,FD,227471
Kalimpong,22,2,SARITA RAI,U,GOJAM,67693,137985,34.939765254823421,49.058230967134108,W,193742
Darjeeling,23,1,SARDA RAI SUBBA,S,AITC,45473,159374,19.148945129911148,28.532257457301689,L,237470
Kurseong,24,1,SHANTA CHHETRI,S,AITC,53221,163973,23.569764661074746,32.457172827233755,L,225802
Siliguri,26,2,GITA CHATTERJEE,N,BJP,19300,168350,9.2468821717237049,11.464211464211465,FD,208719
Islampur,29,3,SEFALI ROY MONDAL,N,BSP,1164,149404,0.61826757600866844,0.77909560654333221,FD,188268
Goalpokhar,30,5,JULIA YEASMIN,U,SP,2887,147717,1.4523593922929874,1.9544128299383279,FD,198780
Karandighi,32,7,REHENA KHATUN,Z,IND,1357,185490,0.59720015667152226,0.73157582619009109,FD,227227
Hemtabad,33,7,BESHILA BARMAN,Z,IND,1459,197736,0.62717350654040094,0.73785249018893884,FD,232631
Hemtabad,33,4,SABITA KSHETRY,S,AITC,67283,197736,28.922628540478268,34.026682040700734,L,232631
Kushmandi,37,4,REKHA ROY,S,AITC,65436,163497,34.188087774294672,40.022752711058921,L,191400
Kumarganj,38,4,MAFUJA KHATUN,N,CPM,61005,154022,33.984936436665066,39.607978081053361,L,179506
Gangarampur,41,5,SUKLA BHUIMALI,U,CPIM,1068,173378,0.53744502259483284,0.61599510895269294,FD,198718
Gazole,44,1,DIPALI BISWAS,N,CPM,85949,198327,36.757360110850712,43.337014123140065,W,233828
Gazole,44,6,JHARNA BARMAN,U,HKRD,631,198327,0.26985647570008719,0.31816142028064764,FD,233828
Chanchal,45,2,DOLI CHAUDHURY ROY,N,BSP,1896,172154,0.87135556454281415,1.1013394983561231,FD,217592
Ratua,48,2,SHEHNAZ QUADERY,S,AITC,53312,186248,22.255061573784179,28.624199991409306,L,239550
Manickchak,49,1,CHANCHALA KARMAKAR,N,BSP,2244,172551,1.0246575342465754,1.3004850739781282,FD,219000
Manickchak,49,4,SABITRI MITRA,S,AITC,65869,172551,30.077168949771689,38.173641416161018,L,219000
Mothabari,52,1,YEASMIN SABINA,N,INC,69089,133423,41.492153671529209,51.781926654324963,W,166511
Sagardighi,60,7,KANIKA CHAKROBORTY (DAS),Z,IND,1672,170865,0.81147322186900916,0.97855031750212151,FD,206045
Bhagawangola,62,8,ANJU BEGAM,Z,IND,510,193122,0.22705417245432205,0.26408177214403328,FD,224616
Murshidabad,64,6,MILIA SAJEM,U,SUCI,1669,201150,0.71005866811883378,0.82972905791697737,FD,235051
Murshidabad,64,5,SHAONI SINGHA ROY,N,INC,94579,201150,40.237650552433301,47.019139945314443,W,235051
Burwan,67,2,PROTIMA RAJAK,N,INC,55906,151550,28.756159535835895,36.889475420653248,W,194414
Rejinagar,70,2,BEGUM SIDDIKA,S,AITC,14631,184993,6.5071493695657008,7.9089479061369889,FD,224845
Beldanga,71,5,MARJINA KHATUN,U,SP,1552,176050,0.7070647246684495,0.88156773643851183,FD,219499
Baharampur,72,3,DR. SUJATA BANERJEE,S,AITC,35489,188187,14.997865839485772,18.858369600450615,L,236627
Baharampur,72,2,MALA BHATTACHARYA,N,BJP,18805,188187,7.9471066277305633,9.9927200072268541,FD,236627
Karimpur,77,2,MAHUA MOITRA,S,AITC,90989,201106,40.054321987638886,45.244299026384091,W,227164
Palashipara,79,6,BATSHOBHA SEKH,U,SUCI,2571,182560,1.1783956219233835,1.4083041191936898,FD,218178
Nabadwip,84,1,UTPALA BISWAS,N,BSP,1914,194772,0.84715755182975405,0.98268744994146995,FD,225932
Santipur,86,5,NAJIMA BIBI KAYAL,U,SDPI,519,200080,0.23030738714272403,0.25939624150339863,FD,225351
Ranaghat Uttar Purba,89,6,DEBADRITA BISWAS,U,NDPOI,1311,193678,0.54899957286074419,0.67689670483999209,FD,238798
Ranaghat Dakshin,90,3,RAMA BISWAS,N,CPM,104159,219215,40.401928574476251,47.514540519581232,W,257807
Chakdaha,91,1,KAR RATNA GHOSH,S,AITC,94241,189886,42.11605925859719,49.630304498488563,W,223765
Haringhata,93,2,NILIMA NAG (MALLICK),S,AITC,94530,191359,43.103762744633116,49.399296610036629,W,219308
Bagdah,94,4,BIVA MAJUMDER,N,BJP,8996,205546,3.4849441579923992,4.3766358868574429,FD,258139
Bongaon Uttar,95,3,SUNITI MALLICK,N,BSP,4840,189396,2.1072980433476434,2.5554921962449049,FD,229678
Gaighata,97,5,NANIBALA BISWAS ( DAS),U,SUCI,917,192949,0.40880741470547588,0.47525511922839714,FD,224311
Gaighata,97,6,NANDITA MONDAL,Z,IND,1388,192949,0.61878374221504973,0.71936107468813004,FD,224311
Swarupnagar (SC),98,5,SHIBANI HALDER,U,SUCI,1618,193161,0.71819182557437589,0.83764320955058214,FD,225288
Swarupnagar (SC),98,2,BINA MANDAL,S,AITC,93807,193161,41.638702460850112,48.56415114852377,W,225288
Baduria,99,4,DEBIKA MUKHERJEE,N,BJP,17629,196150,7.886390172544143,8.9875095590109613,FD,223537
Ashoknagar,101,6,JAYASHRI DAS (BASAK),U,CPI(ML)(L),1262,196181,0.55577330438497208,0.64328349840198595,FD,227071
Ashoknagar,101,1,TANUJA CHAKRABORTY,N,BJP,16429,196181,7.2351819474965984,8.3744093464708609,FD,227071
Bijpur,103,1,ALO RANI SARKAR,N,BJP,13731,124776,7.6451101027254245,11.004520100019235,FD,179605
Naihati,104,1,GARGI CHATTERJEE,N,CPM,45429,146401,25.110132158590311,31.030525747774945,L,180919
Naihati,104,3,PHALGUNI PATRA,N,BJP,19972,146401,11.039194335586643,13.641983319786066,FD,180919
Noapara,107,2,BULU SARKAR,N,BSP,2429,189193,1.0029440060779482,1.2838741391066266,FD,242187
Noapara,107,3,MANJU BASU,S,AITC,78453,189193,32.393563651228185,41.467179018251201,L,242187
Dum Dum Uttar,110,4,SOVA HOWLADER,N,BSP,1947,198254,0.8109188747927929,0.98207350166957552,FD,240098
Dum Dum Uttar,110,1,CHANDRIMA BHATTACHARYA,S,AITC,85410,198254,35.572974368799407,43.081097985412654,L,240098
Kamarhati,112,5,ARCHANA GHATAK,U,CPI(ML)(L),399,137943,0.2165183416540048,0.28924990757051827,FD,184280
Kamarhati,112,4,REKHA DEVI,N,BSP,848,137943,0.46016930757542868,0.6147466707263145,FD,184280
Dum dum,114,1,UMA SINGHA,N,BJP,14550,174562,6.5902708578675595,8.3351473974862795,FD,220780
Rajarhat new town,115,3,NUPUR GHOSH,N,BJP,17877,198890,7.5769584511250789,8.9883855397455878,FD,235939
Barasat,119,3,DR. BITHIKA MANDAL,N,BJP,22537,205770,9.0828120969822024,10.952519803664286,FD,248128
Deganga,120,7,RITA PANDA,U,LJP,694,191509,0.32162834778498173,0.36238505762131284,FD,215777
Deganga,120,4,RAHIMA MONDAL,S,AITC,97412,191509,45.144755928574412,50.865494572056669,W,215777
Minakhan (SC),122,1,USHA RANI MONDAL,S,AITC,103210,185101,49.376632572024533,55.75874792680753,W,209026
Kultali,129,5,PALLABI DAS,U,LJP,535,197859,0.23243588462490933,0.27039457391374666,FD,230171
Kakdwip,131,2,PARBATI BHUNIA,N,BSP,960,195053,0.44221290708922567,0.49217392195967252,FD,217090
Sagar,132,3,SARBORI MUKHERJEE,N,BJP,7177,217806,2.9528660533548376,3.2951342019962722,FD,243052
Raidighi,134,2,DEBASREE ROY,S,AITC,101161,217640,41.508760411965042,46.480885866568642,W,243710
Raidighi,134,4,SANGHAMITRA CHAUDHURI,N,BJP,7703,217640,3.1607238110869478,3.539331005329903,FD,243710
Mandirbazar,135,1,CHHANDITA MAZUMDER,N,BJP,8653,178941,4.1884892782806524,4.8356720930362522,FD,206590
Baruipur paschim,140,1,BASABDATTA BANERJEE,N,BJP,13812,182604,6.4877356806673738,7.5639087862259311,FD,212894
Magrahat paschim,142,4,ANURADHA PUTATUNDA,U,PDS,528,172520,0.26237458941855207,0.30605147229306751,FD,201239
Diamond harbour,143,4,ROKEYA BIBI,N,BSP,553,199346,0.24436156674208145,0.27740712128660722,FD,226304
Falta,144,6,MAMATA LASKAR,U,SUCI,1798,188183,0.84676317945916424,0.95545293676899612,FD,212338
Falta,144,5,JAYASHRI CHAKRABORTY,U,LJP,1328,188183,0.62541796569620134,0.70569605118421963,FD,212338
Satgachia,145,4,SONALI GUHA (BOSE),S,AITC,100171,208797,40.97492933664391,47.975306158613392,W,244469
Satgachia,145,1,PARAMITA GHOSH,N,CPM,82899,208797,33.90982087708462,39.70315665454963,L,244469
Sonarpur Dakshin,147,5,MINATI MITRA,U,SUCI,1063,203884,0.43003009806142589,0.52137489945262994,FD,247192
Sonarpur Uttar,151,6,BANI DAS,U,LJP,631,202625,0.25544076688904727,0.31141270820481182,FD,247024
Sonarpur Uttar,151,3,FIRDOUSI BEGUM,S,AITC,101939,202625,41.266840468942291,50.309191856878464,W,247024
Sonarpur Uttar,151,2,JYOTIRMOYEE SIKDAR,N,CPM,77059,202625,31.19494462076559,38.030351634793334,L,247024
Tollygunge,152,2,MADHUJA SEN ROY,N,CPM,80707,193893,31.318564050027746,41.624504236872916,L,257697
BEHALA PURBA,153,8,NAMITA CHAKRABORTY,Z,IND,738,204122,0.26540843409023884,0.36154848570952669,FD,278062
BEHALA PURBA,153,2,RINA ROY,N,BSP,1700,204122,0.61137444167128197,0.83283526518454654,FD,278062
Behala paschim,154,4,PUSHPA DHALI,N,BSP,1040,222079,0.35325846971148295,0.46830182052332731,FD,294402
Maheshtala,155,1,KASTURI DAS,S,AITC,93675,195827,38.693008616345445,47.835589576513968,W,242098
BUDGE BUDGE,156,6,KAJAL DUTTA,U,CPI(ML)(L),1250,190494,0.54612101167825167,0.65618864636156526,FD,228887
Bhabanipur,159,5,SHOBHA SINGH,U,SUCI,495,137455,0.24063001312527343,0.36011785675311925,FD,205710
Bhabanipur,159,3,MAMATA BANERJEE,S,AITC,65520,137455,31.850663555490737,47.666509039321959,W,205710
Bhabanipur,159,7,KIRAN KAUR,Z,IND,175,137455,8.5071216761460303E-2,0.12731439380160781,FD,205710
Bhabanipur,159,2,DEEPA DASMUNSHI,N,INC,40219,137455,19.551310096738124,29.259757738896365,L,205710
Bhabanipur,159,10,PINKY TIWARI,Z,IND,604,137455,0.29361722813669733,0.43941653632097777,FD,205710
Rashbehari,160,5,SWATI GHOSH,U,SUCI,1335,137857,0.64824706225114115,0.96839478590133254,FD,205940
Rashbehari,160,6,TARULATA DUTTA,Z,IND,553,137857,0.26852481305234532,0.40114031206249956,FD,205940
Ballygunge,161,2,KRISHNA DEBNATH,N,INC,54858,153941,22.755857171301518,35.635730572102297,L,241072
Ballygunge,161,8,SWETA PAUL,Z,IND,998,153941,0.41398420388929447,0.6483003228509624,FD,241072
Chowrangee,162,1,NAYNA BANDYOPADHYAY,S,AITC,55119,116557,26.576437574132829,47.289309093404938,W,207398
Jorasanko,165,2,SMITA BAKSHI,S,AITC,44766,104630,22.98556662918406,42.78505208831119,W,194757
Shyampukur,166,8,SAMPA BASU,Z,IND,262,116816,0.15317785586080693,0.22428434461032737,FD,171043
Shyampukur,166,7,CHHAYA GHOSH,Z,IND,149,116816,8.711259741702379E-2,0.12755102040816327,FD,171043
Shyampukur,166,2,SHASHI PANJA,S,AITC,53507,116816,31.282776845588533,45.804513080399943,W,171043
Shyampukur,166,1,PIYALI PAL,S,AIFB,40352,116816,23.59172839578352,34.543213258457747,L,171043
Kashipur-Belgachia,168,6,JYOTSNA RAY PAIN,Z,IND,683,143391,0.30884434335532474,0.47631999218918902,FD,221147
Kashipur-Belgachia,168,3,MALA SAHA,S,AITC,72264,143391,32.676907215562501,50.39646839759817,W,221147
Kashipur-Belgachia,168,2,KANINIKA BOSE (GHOSH),N,CPM,46454,143391,21.005937227274167,32.396733407257081,L,221147
Bally,169,4,PUTUL CHOWDHURY,U,SUCI,591,112192,0.36951587792846019,0.52677552766685676,FD,159939
Bally,169,2,BAISHALI DALMIYA,S,AITC,52702,112192,32.951312687962286,46.974828864803193,W,159939
Howrah Uttar,170,1,ROOPA GANGULY,N,BJP,31416,134646,15.848416974393123,23.33229356980527,L,198228
Howrah Uttar,170,7,ANU DAS,Z,IND,182,134646,9.1813467320459266E-2,0.13516925864860449,FD,198228
Howrah Uttar,170,13,BINA GANGULI MUKHERJEE,Z,IND,716,134646,0.36120023407389468,0.53176477578242209,FD,198228
Howrah madhya,171,7,PRATIMA DEVI,Z,IND,443,175876,0.18069758240503178,0.25188200777820741,FD,245161
Howrah Dakshin,173,6,SUKTARA KHAN,U,IUC,496,196038,0.1860151137279904,0.25301217110968283,FD,266645
Howrah Dakshin,173,4,SAHANA GUHA RAY,N,BJP,16277,196038,6.1043709801421366,8.302982074903845,FD,266645
Panchla,175,2,DOLI ROY,S,AIFB,69199,190868,29.409464714507322,36.254898673428762,L,235295
Uluberia Purba,176,1,PAPIYA MONDAL,N,BJP,28229,171104,13.704196360953066,16.498153170001871,FD,205988
Shyampur,179,3,MOUSUMI BISWAS,N,BJP,8075,203631,3.4061238521468069,3.9655062343159928,FD,237073
Bagnan,180,2,MINA MUKHERJEE GHOSH,N,CPM,67637,180838,32.130522975483004,37.40198409626295,L,210507
Jagatballavpur,183,7,TAPATI DALUI,Z,IND,797,212212,0.31114338361597799,0.37556782839801706,FD,256152
Domjur,184,3,SABILA BEGUM SARDAR,U,IUC,2438,219557,0.9386417799543384,1.1104177958343393,FD,259737
Domjur,184,7,PRATIMA DUTTA W/O - BISWAJIT DUTTA,Z,IND,1965,219557,0.75653449450790611,0.89498399048994115,FD,259737
Domjur,184,6,PROTIMA DUTTA W/O - LATE TAPAN KUMAR DUTTA,Z,IND,41067,219557,15.810993427967521,18.704482207353898,L,259737
Uttarpara,185,1,KRISHNA BHATTACHARJEE,N,BJP,23687,189155,9.7813878198245821,12.522534429436178,FD,242164
Champdani,187,4,SIMA CHOWDHURI,U,SUCI,1899,184262,0.79193634483218789,1.030597735832673,FD,239792
Champdani,187,3,RAJ KUMARI SHAW,N,BJP,23383,184262,9.7513678521385199,12.690082599776407,FD,239792
Chunchura,190,2,CHAMPA CHAKRABORTY,N,BJP,25120,241538,8.5229971635248294,10.400019872649438,FD,294732
Chanditala,194,3,SWATI  KHANDOKER,S,AITC,91874,190300,38.219840837330423,48.27850761954808,W,240383
Dhanekhali,197,1,ASIMA PATRA,S,AITC,125298,217750,50.142265442103366,57.542135476463827,W,249885
Panskura Purba,204,1,APARNA LASKAR,N,BJP,10041,182559,4.6534584636774419,5.5001396808702943,FD,215775
Panskura paschim,205,3,PHIROJA BIBI,S,AITC,92427,209166,37.467924421220758,44.18834801067095,W,246683
Mahisadal,208,5,MASLEMA BEGAM,U,LJP,866,197146,0.39124974022101539,0.43926835948992121,FD,221342
Haldia,209,3,MADHURIMA MANDAL,S,AITC,79837,201981,35.742202364696979,39.526985211480287,L,223369
Haldia,209,1,TAPASI MONDAL,N,CPM,101330,201981,45.364397029131169,50.168085116916942,W,223369
Kanthi Uttar,213,4,BANASRI MAITY,S,AITC,103783,207184,44.055558149703067,50.092188585991195,W,235573
Egra,218,2,MINATI SUR,N,BJP,13002,220890,4.9959078281518368,5.8861876952329215,FD,260253
Jhargram,222,6,CHUNIBALA HANSDA,U,JKP(N),44005,180537,20.550408159453049,24.374504949124002,L,214132
Pingla,227,1,ANTARA BHATTACHARYYA,N,BJP,16665,207259,7.2561894229010822,8.0406640966134155,FD,229666
Debra,229,3,SELIMA KHATUN (BIBI),S,AITC,90773,189271,42.742049403410967,47.959275324798831,W,212374
Daspur,230,2,MAMATA BHUNIA,S,AITC,113603,215096,41.409111951097714,52.815022129653734,W,274343
Ghatal,231,1,ANJUSHREE DOLUI,N,BJP,10468,216371,4.0705700275700627,4.8379866063381876,FD,257163
Chandrakona,232,5,TANUSHRI DOLUI,U,SUCI,1485,225151,0.59324302190405043,0.65955736372478913,FD,250319
Chandrakona,232,1,CHHAYA DOLAI,S,AITC,117172,225151,46.809071624607,52.041518802936693,W,250319
Keshpur,235,3,SEULI SAHA,S,AITC,146579,204641,62.99541864003232,71.627386496352159,W,232682
Medinipur,236,4,SOVA DAS,U,AMB,2171,213083,0.86443053498335642,1.0188518089195291,FD,251148
Binpur,237,4,BIRBAHA HANSDA,U,JKP(N),7094,173955,3.443187885259428,4.0780661665373232,FD,206030
Balarampur,239,2,BHARATI MUDI,N,BSP,1860,174594,0.88913959013533095,1.0653287054537957,FD,209191
Purulia,242,8,ANITA MAHATO,Z,IND,488,182528,0.21431426024250888,0.26735624123422158,FD,227703
Manbazar,243,5,SUNITI MUDI,U,SUCI,1356,192186,0.59306429674208261,0.70556648247010711,FD,228643
Manbazar,243,3,SANDHYA RANI TUDU,S,AITC,93642,192186,40.95555079315789,48.724672973057345,W,228643
Manbazar,243,1,IPIL MURMU,N,CPM,83967,192186,36.724063277686177,43.690487340388998,L,228643
Manbazar,243,2,GOURI SINGH SARDAR,N,BJP,8882,192186,3.8846586162707801,4.6215645260320732,FD,228643
Chhatna,248,6,PANMANI BESRA,U,JDP,835,179069,0.37742501220416208,0.46630069973027161,FD,221236
Ranibandh,249,2,JYOTSNA MANDI,S,AITC,92181,194129,39.838452462757203,47.484404699967548,W,231387
Ranibandh,249,3,DEBLINA HEMBRAM,N,CPM,68868,194129,29.763124116739487,35.475379773243567,L,231387
Bankura,252,2,MINATI MISRA,S,AITC,82457,196657,33.727365316732175,41.929349069700031,L,244481
Bankura,252,1,DARIPA SHAMPA,N,INC,83486,196657,34.148256919760634,42.452595127557117,W,244481
Barjora,253,4,INDRANI SARDAR,U,BMUP,2050,200084,0.88587738592708143,1.0245696807340916,FD,231409
Sonamukhi,258,3,DIPALI SAHA,S,AITC,77406,187035,36.830710815684668,41.385836875451119,L,210167
Sonamukhi,258,4,DEBJANI ROY,N,BJP,15118,187035,7.1933272112177455,8.0829791215547893,FD,210167
Khandaghosh,259,2,ASIMA ROY,N,CPM,86949,196477,39.437839897310752,44.254034823414443,L,220471
Memari,265,3,BEGUM NARGIS,S,AITC,94406,203674,40.471393173458623,46.351522531103626,W,233266
Memari,265,6,SRABANTI MAJUMDER,Z,IND,2344,203674,1.0048614028619687,1.15085872521775,FD,233266
Bardhaman Uttar,266,1,APARNA SAHA,N,CPM,91381,216933,37.184991068049662,42.124065955848117,L,245747
Purbasthali Uttar,269,1,JYOTSNA GOLDAR,N,BSP,2193,194920,0.97245379403313359,1.1250769546480608,FD,225512
Katwa,270,3,SHYAMA MAJUMDAR,N,INC,90578,204191,37.240568364963984,44.359447771939017,L,243224
Ausgram,273,5,KALPANA ANKURE,Z,IND,2263,196899,1.0058850721854775,1.1493202098537829,FD,224976
Pandabeswar,275,5,MOYNA RUIDAS,U,BMUP,1323,152325,0.69281524926686222,0.86853766617429828,FD,190960
Durgapur paschim,277,6,SHYAMALI BANERJEE (ROY CHOWDHURY),U,SUCI,1917,199375,0.78160038488824379,0.96150470219435735,FD,245266
Raniganj,278,5,MAMONI ORANG,U,BMUP,2081,177207,0.90742993690287754,1.1743328423820729,FD,229329
Raniganj,278,2,BANO NARGIS,S,AITC,62610,177207,27.301387962272543,35.33156139430158,L,229329
Jamuria,279,1,JAHANARA KHAN,N,CPM,67214,155293,33.758406452941443,43.282053923872937,W,199103
Asansol Uttar,281,4,DIPALI RUIDAS,U,BMUP,2178,183666,0.87294239301646082,1.1858482244944628,FD,249501
Asansol Uttar,281,1,INDRANI MISHRA,N,INC,31892,183666,12.782313497741493,17.364128363442337,L,249501
Barbani,283,3,SHIPRA MUKHERJEE,N,CPM,53415,164376,25.825931817412624,32.495619798510731,L,206827
Nanoor,287,3,SHYAMALI PRADHAN,N,CPM,104374,208464,41.423020903199173,50.068117276843957,W,251971
Sainthia,289,2,NILABATI SAHA,S,AITC,103376,198163,45.340350877192982,52.167155321629167,W,228000
Sainthia,289,3,PIYA SAHA,N,BJP,24029,198163,10.539035087719299,12.125876172645752,FD,228000
Mayureswar,290,3,LOCKET CHATTERJEE,N,BJP,35329,183792,16.633395794687335,19.222273004265691,L,212398
Hansan,292,4,RUPARANI MONDAL,N,BJP,7662,185473,3.4873083277578272,4.1310595073137328,FD,219711
Murarai,294,4,HAYATUNNINSH BIBI,N,BJP,5345,199235,2.2836805496214514,2.6827615629783921,FD,234052
