ac_no,ac_name_pdf,district_pdf,polling_stations,male_electors,female_electors,third_gender_electors,total_electors
1,Mekliganj,COOCHBEHAR,239,119553,112317,3,231873
2,Mathabhanga,COOCHBEHAR,276,134478,123989,1,258468
3,COOCHBEHAR UTTAR,COOCHBEHAR,307,146356,135240,1,281597
4,Cooch Behar Dakshin,COOCHBEHAR,258,119979,112721,4,232704
5,Sitalkuchi,COOCHBEHAR,310,157007,141699,3,298709
6,Sitai,COOCHBEHAR,300,152548,138873,0,291421
7,Dinhata,COOCHBEHAR,318,150678,141700,0,292378
8,Natabari,COOCHBEHAR,274,127611,121230,9,248850
9,Tufanganj,COOCHBEHAR,255,123940,117478,1,241419
10,Kumargram,ALIPURDUAR,302,138874,130343,2,269219
11,Kalchini,ALIPURDUAR,275,115772,118486,2,234260
12,Alipurduars,ALIPURDUAR,278,127036,122803,7,249846
13,Falakata,ALIPURDUAR,269,129018,121940,5,250963
14,Madarihat,ALIPURDUAR,226,98918,100990,4,199912
15,Dhupguri,JALPAIGURI,263,134272,126572,9,260853
16,Maynaguri,JALPAIGURI,276,137872,128457,0,266329
17,Jalpaiguri,JALPAIGURI,283,128990,126622,4,255616
18,Rajganj,JALPAIGURI,261,124511,117048,1,241560
19,Dabgram-Fulbari,JALPAIGURI,314,144803,142221,6,287030
20,Mal,JALPAIGURI,271,122869,122336,0,245205
21,Nagrakata,JALPAIGURI,260,109823,114497,2,224322
22,Kalimpong,Kalimpong,293,101506,102025,0,203531
23,Darjeeling,DARJEELING,335,108630,110710,2,219342
24,Kurseong,DARJEELING,296,109182,113525,3,222710
25,Matigara-Naxalbari,DARJEELING,328,141961,143209,4,285174
26,Siliguri,DARJEELING,245,103916,104709,18,208643
27,Phansidewa,DARJEELING,261,119291,115480,3,234774
28,Chopra,UTTAR DINAJPUR,261,133295,114756,5,248056
29,Islampur,UTTAR DINAJPUR,238,115701,101947,9,217657
30,Goalpokhar,UTTAR DINAJPUR,236,122516,108331,5,230852
31,Chakulia,UTTAR DINAJPUR,239,121812,107130,3,228945
32,Karandighi,UTTAR DINAJPUR,276,137883,122073,6,259962
33,Hemtabad,UTTAR DINAJPUR,266,140636,124521,5,265162
34,Kaliaganj,UTTAR DINAJPUR,282,145949,133403,13,279365
35,Raiganj,UTTAR DINAJPUR,213,96583,92827,17,189427
36,Itahar,UTTAR DINAJPUR,238,119629,110271,7,229907
37,Kushmandi,DAKSHIN DINAJPUR,229,115687,104539,4,220230
38,Kumarganj,DAKSHIN DINAJPUR,211,104707,97537,4,202248
39,Balurghat,DAKSHIN DINAJPUR,200,87787,86259,14,174060
40,Tapan,DAKSHIN DINAJPUR,234,108550,103262,3,211815
41,Gangarampur,DAKSHIN DINAJPUR,239,111773,104630,11,216414
42,Harirampur,DAKSHIN DINAJPUR,230,115783,110003,11,225797
43,Habibpur,MALDA,252,123458,119489,5,242952
44,Gazole,MALDA,273,135506,130716,4,266226
45,Chanchal,MALDA,248,127066,118463,5,245534
46,Harischandrapur,MALDA,260,134611,121312,3,255926
47,Malatipur,MALDA,245,122275,114253,14,236542
48,Ratua,MALDA,296,146394,131824,9,278227
49,Manikchak,MALDA,261,133861,121108,2,254971
50,Maldaha,MALDA,248,122979,119904,5,242888
51,Englishbazar,MALDA,292,132381,132781,9,265171
52,Mothabari,MALDA,205,104061,98534,9,202604
53,Sujapur,MALDA,264,131156,125113,7,256276
54,Baisnabnagar,MALDA,262,130159,120174,10,250343
55,Farakka,MURSHIDABAD,236,114053,108803,5,222861
56,Samserganj,MURSHIDABAD,247,118427,117610,3,236040
57,Suti,MURSHIDABAD,285,136567,130143,2,266712
58,Jangipur,MURSHIDABAD,275,131763,124497,4,256264
59,RaghunathGanj,MURSHIDABAD,269,130216,120646,0,250862
60,Sagardighi,MURSHIDABAD,250,122440,113991,4,236435
61,Lalgola,MURSHIDABAD,256,124323,115464,3,239790
62,Bhagabangola,MURSHIDABAD,283,141077,130837,1,271915
63,Raninagar,MURSHIDABAD,270,134724,126391,6,261121
64,Murshidabad,MURSHIDABAD,282,135880,131344,1,267225
65,Nabagram,MURSHIDABAD,272,130794,124895,4,255693
66,Khargram,MURSHIDABAD,244,121423,112810,3,234236
67,Burwan,MURSHIDABAD,233,112180,103713,5,215898
68,Kandi,MURSHIDABAD,255,123356,116566,3,239925
69,Bharatpur,MURSHIDABAD,262,124847,114606,4,239457
70,Rejinagar,MURSHIDABAD,282,134986,124012,6,259004
71,Beldanga,MURSHIDABAD,281,130736,121267,4,252007
72,Baharampur,MURSHIDABAD,298,122403,125774,11,248188
73,Hariharpara,MURSHIDABAD,276,128669,121862,8,250539
74,Naoda,MURSHIDABAD,269,127714,118837,2,246553
75,Domkal,MURSHIDABAD,286,138540,130600,3,269143
76,Jalangi,MURSHIDABAD,284,137448,127930,2,265380
77,Karimpur,NADIA,262,131295,123722,3,255020
78,Tehatta,NADIA,274,132196,122517,4,254717
79,Palashipara,NADIA,256,127813,115639,4,243456
80,Kaliganj,NADIA,309,126852,116024,3,242879
81,Nakashipara,NADIA,262,127824,115392,4,243220
82,Chapra,NADIA,285,130634,116744,0,247378
83,Krishnanagar Uttar,NADIA,273,116752,113990,5,230747
84,Nabadwip,NADIA,276,121141,115220,3,236364
85,Krishnanagar Dakshin,NADIA,238,115910,106566,1,222477
86,Santipur,NADIA,265,127560,118022,9,245591
87,Ranaghat Uttar Paschim,NADIA,290,128216,123481,13,251710
88,Krishnaganj,NADIA,297,140291,128638,3,268932
89,Ranaghat Uttar Purba,NADIA,282,136162,122508,12,258682
90,Ranaghat Dakshin,NADIA,308,142414,134286,2,276702
91,Chakdaha,NADIA,269,122563,116880,3,239446
92,Kalyani,NADIA,282,125988,122310,8,248306
93,Haringhata,NADIA,258,122293,114290,5,236588
94,Bagda,NORTH 24 PARGANAS,300,137251,125883,8,263142
95,Bangaon Uttar,NORTH 24 PARGANAS,276,124052,117260,25,241337
96,Bangaon Dakshin,NORTH 24 PARGANAS,270,126141,118665,8,244814
97,Gaighata,NORTH 24 PARGANAS,274,127357,121290,5,248652
98,Swarupnagar,NORTH 24 PARGANAS,271,123891,116566,2,240459
99,Baduria,NORTH 24 PARGANAS,273,125622,118716,4,244342
100,Habra,NORTH 24 PARGANAS,261,119890,112047,8,231945
101,Ashoknagar,NORTH 24 PARGANAS,282,125072,120380,8,245460
102,Amdanga,NORTH 24 PARGANAS,269,125410,116640,5,242055
103,Bijpur,NORTH 24 PARGANAS,205,82695,81722,4,164421
104,Naihati,NORTH 24 PARGANAS,210,90005,90418,7,180430
105,Bhatpara,NORTH 24 PARGANAS,163,64672,58967,4,123643
106,Jagatdal,NORTH 24 PARGANAS,238,107138,103656,12,210806
107,Noapara,NORTH 24 PARGANAS,279,113562,113762,4,227328
108,Barrackpur,NORTH 24 PARGANAS,231,87879,86833,1,174713
109,Khardaha,NORTH 24 PARGANAS,241,109912,110021,9,219942
110,Dum Dum Uttar,NORTH 24 PARGANAS,285,121850,125818,4,247672
111,Panihati,NORTH 24 PARGANAS,253,97756,100695,4,198455
112,Kamarhati,NORTH 24 PARGANAS,217,82916,84285,6,167207
113,Baranagar,NORTH 24 PARGANAS,252,91701,97068,4,188773
114,Dum Dum,NORTH 24 PARGANAS,276,108091,114452,7,222550
115,Rajarhat New Town,NORTH 24 PARGANAS,316,145803,140640,5,286448
116,Bidhannagar,NORTH 24 PARGANAS,281,98181,104181,8,202370
117,Rajarhat Gopalpur,NORTH 24 PARGANAS,268,109320,115818,8,225146
118,Madhyamgram,NORTH 24 PARGANAS,296,133408,130707,4,264119
119,Barasat,NORTH 24 PARGANAS,298,131873,132020,16,263909
120,Deganga,NORTH 24 PARGANAS,262,126544,116942,4,243490
121,Haroa,NORTH 24 PARGANAS,279,135270,122942,5,258217
122,Minakhan,NORTH 24 PARGANAS,249,125719,113889,4,239612
123,Sandeshkhali,NORTH 24 PARGANAS,252,122056,112207,5,234268
124,Basirhat Dakshin,NORTH 24 PARGANAS,290,136420,131558,5,267983
125,Basirhat Uttar,NORTH 24 PARGANAS,286,140305,130467,3,270775
126,Hingalganj,NORTH 24 PARGANAS,255,115525,108536,4,224065
127,Gosaba,SOUTH 24 PARGANAS,260,116703,107877,4,224584
128,Basanti,SOUTH 24 PARGANAS,276,131341,121229,2,252572
129,Kultali,SOUTH 24 PARGANAS,279,138478,124760,18,263256
130,Patharpratima,SOUTH 24 PARGANAS,288,138227,125249,2,263478
131,Kakdwip,SOUTH 24 PARGANAS,271,131074,119529,4,250607
132,Sagar,SOUTH 24 PARGANAS,287,145384,131855,1,277240
133,Kulpi,SOUTH 24 PARGANAS,247,113712,106849,5,220566
134,Raidighi,SOUTH 24 PARGANAS,297,141918,130893,5,272816
135,Mandirbazar,SOUTH 24 PARGANAS,265,117989,109161,4,227154
136,Joynagar,SOUTH 24 PARGANAS,259,119852,112080,7,231939
137,Baruipur Purba,SOUTH 24 PARGANAS,286,129960,122055,11,252026
138,Canning Paschim,SOUTH 24 PARGANAS,270,129275,120703,14,249992
139,Canning Purba,SOUTH 24 PARGANAS,273,134175,123617,25,257817
140,Baruipur Paschim,SOUTH 24 PARGANAS,279,119496,119481,22,238999
141,Magrahat Purba,SOUTH 24 PARGANAS,265,123742,114064,2,237808
142,Magrahat Paschim,SOUTH 24 PARGANAS,246,118538,108234,6,226778
143,Diamond Harbour,SOUTH 24 PARGANAS,283,129330,123681,4,253015
144,Falta,SOUTH 24 PARGANAS,261,119866,113769,9,233644
145,Satgachhia,SOUTH 24 PARGANAS,309,133624,127688,8,261320
146,Bishnupur,SOUTH 24 PARGANAS,304,139105,133596,19,272720
147,Sonarpur Dakshin,SOUTH 24 PARGANAS,300,132281,135612,18,267911
148,Bhangar,SOUTH 24 PARGANAS,286,141431,129516,16,270963
149,Kasba,SOUTH 24 PARGANAS,317,131343,133653,7,265003
150,Jadavpur,SOUTH 24 PARGANAS,347,122304,133826,6,256136
151,Sonarpur Uttar,SOUTH 24 PARGANAS,323,141740,143586,21,285347
152,Tollyganj,SOUTH 24 PARGANAS,310,110002,118438,8,228448
153,Behala Purba,SOUTH 24 PARGANAS,316,125521,133082,6,258609
154,Behala Paschim,SOUTH 24 PARGANAS,350,127891,137273,4,265168
155,Maheshtala,SOUTH 24 PARGANAS,292,125036,122692,13,247741
156,Budge Budge,SOUTH 24 PARGANAS,278,120828,117558,6,238392
157,Metiaburuz,SOUTH 24 PARGANAS,235,119845,104379,3,224227
158,Kolkata Port,KOLKATA SOUTH,266,95472,84258,5,179735
159,Bhabanipur,KOLKATA SOUTH,267,81846,79674,5,161525
160,Rashbehari,KOLKATA SOUTH,268,76961,83053,7,160021
161,Ballygunge,KOLKATA SOUTH,291,96761,93258,6,190025
162,Chowrangee,KOLKATA NORTH,222,72340,63390,6,135736
163,Entally,KOLKATA NORTH,260,97121,92743,9,189873
164,Beleghata,KOLKATA NORTH,312,99546,95907,6,195459
165,Jorasanko,KOLKATA NORTH,250,66822,58118,0,124940
166,Shyampukur,KOLKATA NORTH,221,67120,66386,7,133513
167,Maniktola,KOLKATA NORTH,277,83393,83643,8,167044
168,Kashipur-Belgachhia,KOLKATA NORTH,290,86314,83067,3,169384
169,Bally,HOWRAH,196,73441,69545,5,142991
170,Howrah Uttar,HOWRAH,234,85560,78164,8,163732
171,Howrah Madhya,HOWRAH,313,112811,109879,5,222695
172,Shibpur,HOWRAH,240,100014,102146,4,202164
173,Howrah Dakshin,HOWRAH,317,126462,124027,2,250491
174,Sankrail,HOWRAH,303,130500,124185,8,254693
175,Panchla,HOWRAH,292,131821,121962,3,253786
176,Uluberia Purba,HOWRAH,248,111775,107687,8,219470
177,Uluberia Uttar,HOWRAH,243,112956,104218,3,217177
178,Uluberia Dakshin,HOWRAH,263,122578,114975,13,237566
179,Shyampur,HOWRAH,303,132564,127037,4,259605
180,Bagnan,HOWRAH,253,117592,112588,4,230184
181,Amta,HOWRAH,292,130884,121845,5,252734
182,Udaynarayanpur,HOWRAH,261,117044,111747,0,228791
183,Jagatballavpur,HOWRAH,319,141002,134464,9,275475
184,Domjur,HOWRAH,316,142753,139256,8,282017
185,Uttarpara,HOOGHLY,290,114935,118326,5,233266
186,Sreerampur,HOOGHLY,271,108247,106391,4,214642
187,Champdani,HOOGHLY,291,113329,113676,10,227015
188,Singur,HOOGHLY,277,121536,120494,6,242036
189,Chandannagar,HOOGHLY,263,102265,105659,8,207932
190,Chunchura,HOOGHLY,361,142550,146878,11,289439
191,Balagarh,HOOGHLY,288,126696,122851,6,249553
192,Pandua,HOOGHLY,291,130960,130267,12,261239
193,Saptagram,HOOGHLY,256,110117,107730,5,217852
194,Chanditala,HOOGHLY,303,128816,125258,3,254077
195,Jangipara,HOOGHLY,284,129441,124256,4,253701
196,Haripal,HOOGHLY,301,132975,130206,3,263184
197,Dhanekhali,HOOGHLY,312,132353,132277,2,264632
198,Tarakeswar,HOOGHLY,270,117879,117308,5,235192
199,Pursurah,HOOGHLY,297,133383,128520,1,261904
200,Arambag,HOOGHLY,293,129603,125686,2,255291
201,Goghat,HOOGHLY,280,126886,121826,1,248713
202,Khanakul,HOOGHLY,309,142520,134033,4,276557
203,Tamluk,PURBO MEDINIPUR,293,138842,133688,7,272537
204,Panskura Purba,PURBO MEDINIPUR,257,122091,115097,6,237194
205,Panskura Paschim,PURBO MEDINIPUR,308,143031,135805,3,278839
206,Moyna,PURBO MEDINIPUR,277,136800,127165,3,263968
207,Nandakumar,PURBO MEDINIPUR,274,135642,127962,3,263607
208,Mahishadal,PURBO MEDINIPUR,269,129066,122965,2,252033
209,Haldia,PURBO MEDINIPUR,272,129251,122375,12,251638
210,Nandigram,PURBO MEDINIPUR,286,139477,128130,1,267608
211,Chandipur,PURBO MEDINIPUR,258,132071,123054,0,255125
212,Patashpur,PURBO MEDINIPUR,249,127431,118029,1,245461
213,Kanthi Uttar,PURBO MEDINIPUR,290,136163,126627,0,262790
214,Bhagabanpur,PURBO MEDINIPUR,280,135867,125675,2,261544
215,Khejuri,PURBO MEDINIPUR,254,128185,117428,0,245613
216,Kanthi Dakshin,PURBO MEDINIPUR,262,114648,110887,0,225535
217,Ramnagar,PURBO MEDINIPUR,283,136776,130725,4,267505
218,Egra,PURBO MEDINIPUR,308,149606,140808,1,290415
219,Dantan,PASCHIM MEDINIPUR,271,122367,114136,0,236503
220,Nayagram,JHARGRAM,266,115226,109407,1,224634
221,Gopiballavpur,JHARGRAM,287,113934,111787,0,225721
222,Jhargram,JHARGRAM,263,115560,117117,3,232680
223,Keshiary,PASCHIM MEDINIPUR,275,122639,116928,0,239567
224,Kharagpur Sadar,PASCHIM MEDINIPUR,270,95558,100378,11,195947
225,Narayangarh,PASCHIM MEDINIPUR,270,123679,118336,0,242015
226,Sabang,PASCHIM MEDINIPUR,306,140766,131608,1,272375
227,Pingla,PASCHIM MEDINIPUR,283,130495,125419,1,255915
228,Kharagpur,PASCHIM MEDINIPUR,247,112836,111860,3,224699
229,Debra,PASCHIM MEDINIPUR,265,116621,115235,5,231861
230,Daspur,PASCHIM MEDINIPUR,331,151007,147201,0,298208
231,Ghatal,PASCHIM MEDINIPUR,320,143212,136899,2,280113
232,Chandrakona,PASCHIM MEDINIPUR,329,145344,138649,0,283993
233,Garbeta,PASCHIM MEDINIPUR,266,120274,115444,1,235719
234,Salboni,PASCHIM MEDINIPUR,314,140667,138470,2,279139
235,Keshpur,PASCHIM MEDINIPUR,282,138813,128763,0,267576
236,Medinipur,PASCHIM MEDINIPUR,304,132670,136255,1,268926
237,Binpur,JHARGRAM,285,109227,109750,2,218979
238,Bandwan,PURULIA,343,144319,139804,0,284123
239,Balarampur,PURULIA,254,121394,112788,3,234185
240,Baghmundi,PURULIA,274,128767,120110,4,248881
241,Joypur,PURULIA,273,131209,121205,2,252416
242,Purulia,PURULIA,274,127576,122191,3,249770
243,Manbazar,PURULIA,290,127843,124359,1,252203
244,Kashipur,PURULIA,275,115799,112341,0,228140
245,Para,PURULIA,266,122389,112515,0,234904
246,Raghunathpur,PURULIA,280,129241,124162,1,253404
247,Saltora,BANKURA,267,119486,112711,0,232197
248,Chhatna,BANKURA,274,123392,117062,0,240454
249,Ranibandh,BANKURA,291,127859,125282,0,253141
250,Raipur,BANKURA,258,112081,109972,0,222053
251,Taldangra,BANKURA,264,119838,114769,0,234607
252,Bankura,BANKURA,310,129703,129288,0,258991
253,Barjora,BANKURA,297,127804,122548,1,250353
254,Onda,BANKURA,289,133610,127115,0,260725
255,Bishnupur,BANKURA,240,110587,108172,0,218759
256,Katulpur,BANKURA,281,128325,123130,1,251456
257,Indus,BANKURA,259,124030,119489,0,243519
258,Sonamukhi,BANKURA,259,119931,114823,0,234754
259,Khandaghosh,PURBA BARDHAMAN,271,124013,119746,0,243759
260,Burdwan Dakshin,PURBA BARDHAMAN,299,115454,120538,4,235996
261,Raina,PURBA BARDHAMAN,287,130057,124714,3,254774
262,Jamalpur,PURBA BARDHAMAN,258,117298,114284,5,231587
263,Monteswar,PURBA BARDHAMAN,280,122880,117791,5,240676
264,Kalna,PURBA BARDHAMAN,267,120004,115324,6,235334
265,Memari,PURBA BARDHAMAN,285,123557,121866,8,245431
266,Burdwan Uttar,PURBA BARDHAMAN,302,134739,134883,2,269624
267,Bhatar,PURBA BARDHAMAN,264,123191,120472,0,243663
268,Purbasthali Dakshin,PURBA BARDHAMAN,266,125283,118198,1,243482
269,Purbasthali Uttar,PURBA BARDHAMAN,278,131005,120487,7,251499
270,Katwa,PURBA BARDHAMAN,301,135638,130032,2,265672
271,Ketugram,PURBA BARDHAMAN,297,135453,126289,1,261743
272,Mongalkote,PURBA BARDHAMAN,283,129684,121912,1,251597
273,Ausgram,PURBA BARDHAMAN,271,123140,119843,3,242986
274,Galsi,PURBA BARDHAMAN,297,127998,124796,3,252797
275,Pandabeswar,PASCHIM BARDHAMAN,239,99548,93711,1,193260
276,Durgapur Purba,PASCHIM BARDHAMAN,291,119342,119682,1,239025
277,Durgapur Paschim,PASCHIM BARDHAMAN,306,124665,120915,5,245585
278,Raniganj,PASCHIM BARDHAMAN,286,114226,108524,4,222754
279,Jamuria,PASCHIM BARDHAMAN,249,103764,96735,3,200502
280,Asansol Dakshin,PASCHIM BARDHAMAN,302,126317,121100,5,247422
281,Asansol Uttar,PASCHIM BARDHAMAN,307,124983,122042,3,247028
282,Kulti,PASCHIM BARDHAMAN,270,114713,106916,5,221634
283,Barabani,PASCHIM BARDHAMAN,254,103299,100454,3,203756
284,Dubrajpur,BIRBHUM,275,122746,114575,1,237322
285,Suri,BIRBHUM,298,130148,127373,0,257521
286,Bolpur,BIRBHUM,296,135313,133379,8,268700
287,Nanoor,BIRBHUM,313,139314,133503,4,272821
288,Labhpur,BIRBHUM,255,120751,115132,2,235885
289,Sainthia,BIRBHUM,286,127225,123973,0,251198
290,Mayureswar,BIRBHUM,264,117082,112907,4,229993
291,Rampurhat,BIRBHUM,279,125888,127045,1,252934
292,Hansan,BIRBHUM,263,127655,122654,6,250315
293,Nalhati,BIRBHUM,258,123870,119489,8,243367
294,Murarai,BIRBHUM,289,136819,129548,1,266368
